Model,Accuracy,Precision,Recall,F1-Score
Naive Bayes,0.47946219316639943,0.5182714831001497,0.47946219316639943,0.40766253626835497
Logistic Regression,0.4827926483286049,0.4861655128758935,0.4827926483286049,0.43680103561223754
SVM,0.47847539163685704,0.4763368209342699,0.47847539163685704,0.4322400322265097
