Model,Accuracy,Precision,Recall,F1-Score
Naive Bayes,0.8240236148955495,0.8153256094600997,0.8240236148955495,0.815032154755761
Logistic Regression,0.8360581289736603,0.8233313217768597,0.8360581289736603,0.8227025044524854
SVM,0.8351498637602179,0.8260198168194313,0.8351498637602179,0.8282528051462865
